verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
FC Augsburg,34351,Schnitzer,Abwehr,0,-,-,210000,unbekannt
FC Augsburg,34438,Brackelmann,Abwehr,6,1 (1),"6,00",2210000,steigend (Staerke 5)
FC Augsburg,34510,Seol,Abwehr,0,1 (0),-,1950000,fallend (Staerke 3)
FC Augsburg,33969,Suso,Abwehr,0,-,-,370000,fallend (Staerke 2)
FC Augsburg,32546,Wolf,Abwehr,12,1 (1),"12,00",3230000,steigend (Staerke 5)
FC Augsburg,32549,Gouweleeuw,Abwehr,0,1 (0),-,2270000,unbekannt
FC Augsburg,33914,Kücüksahin,Mittelfeld,0,-,-,170000,unbekannt
FC Augsburg,33211,Keitel,Mittelfeld,2,1 (1),"2,00",800000,steigend (Staerke 2)
FC Augsburg,33517,Jakić,Mittelfeld,0,-,-,1190000,fallend (Staerke 4)
FC Augsburg,34236,Massengo,Mittelfeld,7,1 (1),"7,00",4270000,steigend (Staerke 4)
FC Augsburg,34171,Fellhauer,Mittelfeld,0,1 (1),"0,00",3340000,fallend (Staerke 2)
FC Augsburg,33564,Kade,Mittelfeld,12,1 (1),"12,00",7770000,steigend (Staerke 5)
FC Augsburg,34069,Sakar,Mittelfeld,0,-,-,170000,unbekannt
FC Augsburg,34063,Claude-Maurice,Mittelfeld,0,-,-,4690000,fallend (Staerke 2)
FC Augsburg,33713,Ibrahimović,Mittelfeld,0,-,-,3840000,steigend (Staerke 5)
FC Augsburg,33808,Breithaupt,Mittelfeld,0,-,-,190000,unbekannt
FC Augsburg,33997,Rieder,Mittelfeld,9,1 (1),"9,00",6560000,steigend (Staerke 4)
FC Augsburg,33736,Kömür,Mittelfeld,3,1 (1),"3,00",1950000,fallend (Staerke 2)
FC Augsburg,34012,Mounié,Sturm,0,-,-,170000,fallend (Staerke 1)
FC Augsburg,34345,Onoda,Sturm,0,-,-,250000,unbekannt
FC Augsburg,34344,Ogundu,Sturm,0,-,-,1010000,unbekannt
FC Augsburg,34331,Ribeiro,Sturm,7,1 (1),"7,00",2780000,steigend (Staerke 5)
FC Augsburg,31958,Gregoritsch,Sturm,11,1 (1),"11,00",7090000,steigend (Staerke 5)
1. FSV Mainz 05,34464,Kinzig,Torwart,0,-,-,160000,unbekannt
1. FSV Mainz 05,31774,Schwolow,Torwart,0,-,-,360000,fallend (Staerke 2)
1. FSV Mainz 05,32364,Zentner,Torwart,4,1 (1),"4,00",2520000,fallend (Staerke 1)
1. FSV Mainz 05,31666,Bell,Abwehr,0,-,-,530000,fallend (Staerke 2)
1. FSV Mainz 05,34454,Gruber,Abwehr,5,1 (1),"5,00",3630000,steigend (Staerke 5)
1. FSV Mainz 05,34307,Potulski,Abwehr,2,1 (1),"2,00",2670000,steigend (Staerke 3)
1. FSV Mainz 05,33577,Caci,Abwehr,8,1 (1),"8,00",4670000,steigend (Staerke 3)
1. FSV Mainz 05,33478,Widmer,Abwehr,3,1 (1),"3,00",2180000,steigend (Staerke 1)
1. FSV Mainz 05,34509,Nakuzola,Abwehr,0,-,-,450000,steigend (Staerke 5)
1. FSV Mainz 05,31762,da Costa,Abwehr,4,1 (1),"4,00",3010000,steigend (Staerke 2)
1. FSV Mainz 05,31959,Kohr,Abwehr,2,1 (1),"2,00",1570000,fallend (Staerke 5)
1. FSV Mainz 05,32178,Mwene,Abwehr,3,1 (1),"3,00",2680000,unbekannt
1. FSV Mainz 05,32786,Posch,Abwehr,0,-,-,3040000,fallend (Staerke 2)
1. FSV Mainz 05,33093,Maloney,Mittelfeld,0,-,-,330000,unbekannt
1. FSV Mainz 05,34467,Ruoppi,Mittelfeld,2,1 (1),"2,00",720000,steigend (Staerke 3)
