spieler_id,name,verein,news_headline,news_link,news_count_7d,transfer_news_flag,stammplatz_news_flag
34115,Jeltsch,VfB Stuttgart,Jeltsch kehrt auf den Platz zurück,https://www.ligainsider.de/finn-jeltsch_36816/jeltsch-kehrt-auf-den-platz-zurueck-413438/,0,0,0
34197,Assignon,VfB Stuttgart,BVB-Spiel kommt für Assignon zu früh,https://www.ligainsider.de/lorenz-assignon_25114/bvb-spiel-kommt-fuer-assignon-zu-frueh-418210/,2,0,0
33850,Stergiou,VfB Stuttgart,Thun blitzt mit erstem Ster­giou-Ange­bot ab,https://www.ligainsider.de/leonidas-stergiou_36303/thun-blitzt-mit-erstem-stergiou-angebot-ab-415325/,0,0,0
32880,Vagnoman,VfB Stuttgart,Hoeneß lobt Vagnomans Offen­siv­qua­litäten,https://www.ligainsider.de/josha-vagnoman_18427/hoeness-lobt-vagnomans-offensivqualitaeten-417810/,0,0,0
33552,Chabot,VfB Stuttgart,Beşiktaş blitzt mit Anfrage für Chabot bei Stuttgart ab,https://www.ligainsider.de/julian-chabot_12583/be-ikta-blitzt-mit-anfrage-fuer-chabot-bei-stuttgart-ab-415756/,0,0,0
34074,Malanga,VfB Stuttgart,Bauchmus­kelverlet­zung bremst Malanga aus,https://www.ligainsider.de/jarzinho-malanga_37204/bauchmuskelverletzung-bremst-malanga-aus-418084/,1,0,0
34288,El Khannouss,VfB Stuttgart,El Khannouss bekennt sich zum VfB,https://www.ligainsider.de/bilal-el-khannouss_37086/el-khannouss-bekennt-sich-zum-vfb-417795/,0,0,0
34488,Yigit,VfB Stuttgart,,,0,0,0
32492,Prömel,VfB Stuttgart,,,0,0,0
34523,Spalt,VfB Stuttgart,Hoeneß erklärt Spalt-Vorzug vor Karazor,https://www.ligainsider.de/yanik-spalt_38662/hoeness-erklaert-spalt-vorzug-vor-karazor-418040/,1,0,0
32830,Nartey,VfB Stuttgart,Nartey feiert Comeback gegen Dortmund,https://www.ligainsider.de/nikolas-nartey_13737/nartey-feiert-comeback-gegen-dortmund-418318/,3,0,0
33437,Stiller,VfB Stuttgart,Positive Tendenz bei Stiller – Einsatz noch offen,https://www.ligainsider.de/angelo-stiller_20766/positive-tendenz-bei-stiller-ndash-einsatz-noch-offen-418208/,4,0,0
33411,Leweling,VfB Stuttgart,Auch Leweling bleibt in Stuttgart,https://www.ligainsider.de/jamie-leweling_21336/auch-leweling-bleibt-in-stuttgart-417434/,0,0,0
32858,Führich,VfB Stuttgart,,,0,0,0
33085,Karazor,VfB Stuttgart,VfB sucht Stabilität – weiter mit Prömel oder „Anker“ Karazor?,https://www.ligainsider.de/grischa-proemel_5816/vfb-sucht-stabilitaet-ndash-weiter-mit-proemel-oder-bdquo-anker-ldquo-karazor-418213/,2,0,0
33832,Undav,VfB Stuttgart,Undav ist gegen Stavanger ein­satzbe­reit,https://www.ligainsider.de/deniz-undav_19154/undav-ist-gegen-stavanger-einsatzbereit-417807/,0,0,0
34491,Sauer,VfB Stuttgart,Sauer erstmals im VfB-Kader,https://www.ligainsider.de/leo-sauer_36387/sauer-erstmals-im-vfb-kader-417547/,0,0,0
33311,Demirović,VfB Stuttgart,Demirović schreibt Geschichte und drängt sich auf,https://www.ligainsider.de/ermedin-demirovic_24166/demirovi-schreibt-geschichte-und-draengt-sich-auf-417876/,0,0,0
33557,Tiago Tomás,VfB Stuttgart,Tomás nimmt Lauftraining auf,https://www.ligainsider.de/tiago-tomas_24512/tomas-nimmt-lauftraining-auf-418152/,1,0,0
33718,Diehl,VfB Stuttgart,Diehl vor Leihe zum VfL Osnabrück,https://www.ligainsider.de/justin-diehl_24547/diehl-vor-leihe-zum-vfl-osnabrueck-417412/,0,0,0
33657,Pejčinović,VfB Stuttgart,Hoeneß erklärt CL-Startplatz für Demirović,https://www.ligainsider.de/ermedin-demirovic_24166/hoeness-erklaert-cl-startplatz-fuer-demirovi-417869/,0,0,0
