spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
33855,Kauã Santos,Eintracht Frankfurt,1760000,22,"1,69",80000,1041420
32408,Zetterer,Eintracht Frankfurt,550000,81,"3,68",6790,149457
34073,Siljević,Eintracht Frankfurt,160000,0,-,,
33860,Nkounkou,Eintracht Frankfurt,270000,0,-,,
33869,Baum,Eintracht Frankfurt,2050000,7,"1,40",292857,1464286
34043,Theate,Eintracht Frankfurt,2460000,82,"3,42",30000,719298
34310,Neuendorff,Eintracht Frankfurt,180000,0,-,,
34313,Kosugi,Eintracht Frankfurt,490000,0,-,,
33836,Collins,Eintracht Frankfurt,2100000,64,"2,91",32812,721649
34490,Otávio,Eintracht Frankfurt,3400000,0,-,,
32836,Koch,Eintracht Frankfurt,4660000,136,"4,25",34265,1096471
34314,Arrhov,Eintracht Frankfurt,570000,1,"0,50",570000,1140000
31572,Götze,Eintracht Frankfurt,880000,47,"2,24",18723,392857
31743,Chandler,Eintracht Frankfurt,170000,3,"3,00",56667,56667
34019,O. Højlund,Eintracht Frankfurt,1020000,45,"1,96",22667,520408
33912,Aséko,Eintracht Frankfurt,3420000,0,-,,
33157,Skhiri,Eintracht Frankfurt,2020000,54,"2,16",37407,935185
33383,Knauff,Eintracht Frankfurt,2620000,92,"3,29",28478,796353
33856,Chaïbi,Eintracht Frankfurt,3300000,114,"4,22",28947,781991
33678,Dina Ebimbe,Eintracht Frankfurt,1420000,0,-,,
33335,Doan,Eintracht Frankfurt,6050000,137,"4,42",44161,1368778
33782,Larsson,Eintracht Frankfurt,2130000,88,"3,67",24205,580381
34465,Pimpong,Eintracht Frankfurt,1830000,0,-,,
34318,Amaimouni-Echghouyab,Eintracht Frankfurt,1860000,55,"3,24",33818,574074
34316,Ebnoutalib,Eintracht Frankfurt,3080000,13,"2,60",236923,1184615
34312,Kumashiro,Eintracht Frankfurt,200000,0,-,,
33820,Futkeu,Eintracht Frankfurt,2280000,0,-,,
34223,İnanoğlu,Eintracht Frankfurt,190000,0,-,,
34096,Wahi,Eintracht Frankfurt,380000,15,"1,50",25333,253333
32874,Batshuayi,Eintracht Frankfurt,250000,15,"2,50",16667,100000
33214,Ngankam,Eintracht Frankfurt,230000,5,"1,67",46000,137725
34008,Uzun,Eintracht Frankfurt,7020000,111,"5,29",63243,1327032
33890,Bahoya,Eintracht Frankfurt,3450000,111,"4,11",31081,839416
32948,Burkardt,Eintracht Frankfurt,8030000,128,"6,10",62734,1316393
33990,Labrović,FC Augsburg,170000,0,-,,
34363,Wisbereit,FC Augsburg,170000,0,-,,
32877,Dahmen,FC Augsburg,2460000,103,"3,03",23883,811881
34438,Brackelmann,FC Augsburg,1360000,0,-,,
34017,N. Banks,FC Augsburg,1590000,82,"3,57",19390,445378
34027,Giannoulis,FC Augsburg,2350000,110,"4,07",21364,577396
34057,Matsima,FC Augsburg,2110000,59,"3,47",35763,608069
34106,Behrens,FC Augsburg,2100000,66,"4,13",31818,508475
34351,Schnitzer,FC Augsburg,230000,1,"1,00",230000,230000
33969,Suso,FC Augsburg,1020000,0,-,,
33134,Pedersen,FC Augsburg,220000,11,"1,57",20000,140127
32953,K. Schlotterbeck,FC Augsburg,2470000,96,"4,00",25729,617500
32549,Gouweleeuw,FC Augsburg,1900000,25,"2,27",76000,837004
32546,Wolf,FC Augsburg,830000,67,"2,48",12388,334677
34236,Massengo,FC Augsburg,2220000,111,"3,36",20000,660714
34171,Fellhauer,FC Augsburg,2970000,125,"3,68",23760,807065
34069,Sakar,FC Augsburg,190000,0,-,,
34063,Claude-Maurice,FC Augsburg,5590000,154,"5,31",36299,1052731
33732,Mbuku,FC Augsburg,170000,0,-,,
33211,Keitel,FC Augsburg,410000,13,"2,17",31538,188940
33517,Jakić,FC Augsburg,920000,88,"3,38",10455,272189
33736,Kömür,FC Augsburg,2490000,89,"3,42",27978,728070
33808,Breithaupt,FC Augsburg,180000,0,-,,
33914,Kücüksahin,FC Augsburg,190000,0,-,,
33564,Kade,FC Augsburg,4130000,129,"4,61",32016,895879
33997,Rieder,FC Augsburg,4970000,148,"4,77",33581,1041929
